latitude,longtitude,depth,temperature,time
,,4.683,19.4,1685091686084
,,4.683,19.4,1685091686125
,,4.735,19.4,1685091686248
,,4.766,19.4,1685091686282
,,4.735,19.4,1685091686306
,,4.746,19.4,1685091686435
,,4.766,19.4,1685091686468
,,4.787,19.4,1685091686469
,,4.787,19.4,1685091686619
,,4.766,19.4,1685091686656
,,4.798,19.4,1685091686804
,,4.829,19.4,1685091686843
,,4.850,19.4,1685091686868
,,4.902,19.4,1685091686989
,,4.870,19.4,1685091687025
,,4.798,19.4,1685091687174
,,4.777,19.4,1685091687215
,,4.818,19.4,1685091687242
,,4.870,19.4,1685091687367
,,4.850,19.4,1685091687437
,,4.870,19.4,1685091687511
,,4.860,19.4,1685091687577
,,4.881,19.4,1685091687647
,,4.891,19.4,1685091687717
,,4.850,19.4,1685091687787
,,4.798,19.4,1685091687857
,,4.777,19.4,1685091687927
,,4.808,19.4,1685091687997
,,4.829,19.4,1685091688067
,,4.777,19.4,1685091688137
,,4.746,19.4,1685091688208
,,4.798,19.4,1685091688347
,,4.787,19.4,1685091688418
,,4.798,19.4,1685091688487
,,4.714,19.4,1685091688557
,,4.694,19.4,1685091688627
,,4.694,19.4,1685091688697
,,4.694,19.4,1685091688767
,,4.756,19.4,1685091688837
,,4.787,19.4,1685091689049
,,4.777,19.4,1685091689117
,,4.808,19.4,1685091689187
,,4.787,19.4,1685091689257
,,4.725,19.4,1685091689327
,,4.714,19.4,1685091689397
,,4.714,19.4,1685091689467
,,4.766,19.4,1685091689537
,,4.798,19.4,1685091689607
,,4.787,19.4,1685091689677
,,4.777,19.4,1685091689747
,,4.683,19.4,1685091689817
,,4.642,19.4,1685091689887
,,4.642,19.4,1685091689957
,,4.652,19.4,1685091690027
,,4.704,19.4,1685091690237
,,4.746,19.4,1685091690307
,,4.746,19.4,1685091690377
,,4.704,19.4,1685091690447
,,4.652,19.4,1685091690517
,,4.652,19.4,1685091690587
,,4.704,19.4,1685091690657
,,4.756,19.4,1685091690727
,,4.787,19.4,1685091690798
,,4.818,19.4,1685091690868
,,4.850,19.4,1685091690937
,,4.850,19.4,1685091691007
,,4.777,19.4,1685091691077
,,4.777,19.4,1685091691148
,,4.850,19.4,1685091691642
,,4.870,19.4,1685091691643
,,4.891,19.4,1685091691645
,,4.923,19.4,1685091691645
,,4.923,19.4,1685091691709
,,4.870,19.4,1685091691778
,,4.829,19.4,1685091691855
,,4.808,19.4,1685091691925
,,4.756,19.4,1685091691995
,,4.756,19.4,1685091692064
,,4.787,19.4,1685091692135
,,4.777,19.4,1685091692204
,,4.725,19.4,1685091692274
,,4.725,19.4,1685091692412
,,4.714,19.4,1685091692479
,,4.642,19.4,1685091692570
,,4.589,19.4,1685091692620
,,4.600,19.4,1685091692688
,,4.589,19.4,1685091692760
,,4.610,19.4,1685091692833
,,4.631,19.4,1685091692897
,,4.621,19.4,1685091692975
,,4.610,19.4,1685091693045
,,4.600,19.4,1685091693114
,,4.579,19.4,1685091693182
,,4.558,19.4,1685091693350
,,4.558,19.4,1685091693355
,,4.589,19.4,1685091693392
,,4.621,19.4,1685091693535
,,4.631,19.4,1685091693535
,,4.631,19.4,1685091693722
,,4.642,19.4,1685091693722
,,4.621,19.4,1685091693745
,,4.600,19.4,1685091693899
,,4.610,19.4,1685091693909
,,4.589,19.4,1685091694089
,,4.600,19.4,1685091694089
,,4.610,19.4,1685091694097
,,4.600,19.4,1685091694275
,,4.600,19.4,1685091694276
,,4.600,19.4,1685091694304
,,4.600,19.4,1685091694485
,,4.589,19.4,1685091694486
,,4.579,19.4,1685091694646
,,4.558,19.4,1685091694647
,,4.569,19.4,1685091694656
,,4.569,19.4,1685091694827
,,4.558,19.4,1685091694837
,,4.548,19.4,1685091694859
,,4.527,19.4,1685091695012
,,4.527,19.4,1685091695021
,,4.527,19.4,1685091695176
,,4.527,19.4,1685091695177
,,4.527,19.4,1685091695214
,,4.537,19.4,1685091695371
,,4.527,19.4,1685091695371
,,4.517,19.4,1685091695548
,,4.527,19.4,1685091695549
,,4.548,19.4,1685091695560
,,4.548,19.4,1685091695729
,,4.579,19.4,1685091695738
,,4.621,19.4,1685091695775
,,4.610,19.4,1685091695921
,,4.621,19.4,1685091695921
,,4.621,19.4,1685091696106
,,4.621,19.4,1685091696107
,,4.621,19.4,1685091696123
,,4.621,19.4,1685091696293
,,4.631,19.4,1685091696293
,,4.631,19.4,1685091696334
,,4.610,19.4,1685091696478
,,4.610,19.4,1685091696478
,,4.579,19.4,1685091696657
,,4.527,19.4,1685091696671
,,4.517,19.4,1685091696681
,,4.506,19.4,1685091696851
,,4.506,19.4,1685091696856
,,4.506,19.4,1685091697253
,,4.506,19.4,1685091697254
,,4.506,19.4,1685091697263
,,4.496,19.4,1685091697437
,,4.475,19.4,1685091697438
,,4.475,19.4,1685091697448
,,4.475,19.4,1685091697526
,,4.496,19.4,1685091697747
,,4.527,19.4,1685091697748
,,4.537,19.4,1685091697758
,,4.548,19.4,1685091697959
,,4.558,19.4,1685091697960
,,4.537,19.4,1685091697965
,,4.537,19.4,1685091698163
,,4.548,19.4,1685091698163
,,4.548,19.4,1685091698171
,,4.548,19.4,1685091698560
,,4.548,19.4,1685091698560
,,4.569,19.4,1685091698570
,,4.569,19.4,1685091698743
,,4.548,19.4,1685091698743
,,4.527,19.4,1685091698778
,,4.517,19.4,1685091698931
,,4.506,19.4,1685091698931
,,4.517,19.4,1685091699117
,,4.537,19.4,1685091699118
,,4.527,19.4,1685091699130
,,4.537,19.4,1685091699302
,,4.558,19.4,1685091699308
,,4.558,19.4,1685091699487
,,4.589,19.4,1685091699495
,,4.621,19.4,1685091699676
,,4.631,19.4,1685091699692
,,4.642,19.4,1685091699887
,,4.652,19.4,1685091699888
,,4.683,19.4,1685091700045
,,4.725,19.4,1685091700046
,,4.746,19.4,1685091700054
,,4.756,19.4,1685091700228
,,4.735,19.4,1685091700229
,,4.725,19.4,1685091700258
,,4.714,19.4,1685091700410
,,4.673,19.4,1685091700412
,,4.631,19.4,1685091700595
,,4.600,19.4,1685091700595
,,4.621,19.4,1685091700599
,,4.652,19.4,1685091700810
,,4.600,19.4,1685091700967
,,4.537,19.4,1685091700971
,,4.485,19.4,1685091701165
,,4.444,19.4,1685091701169
,,4.465,19.4,1685091701175
,,4.465,19.4,1685091701344
,,4.506,19.4,1685091701382
,,4.527,19.4,1685091701534
,,4.548,19.4,1685091701538
,,4.579,19.4,1685091701681
,,4.558,19.4,1685091701692
,,4.548,19.4,1685091701733
,,4.589,19.4,1685091701874
,,4.621,19.4,1685091701874
,,4.652,19.4,1685091702059
,,4.652,19.4,1685091702060
,,4.652,19.4,1685091702070
,,4.673,19.4,1685091702247
,,4.652,19.4,1685091702248
,,4.673,19.4,1685091702325
,,4.673,19.4,1685091702434
,,4.642,19.4,1685091702434
,,4.631,19.4,1685091702620
,,4.579,19.4,1685091702620
,,4.527,19.4,1685091702631
,,4.517,19.4,1685091702804
,,4.517,19.4,1685091702805
,,4.537,19.4,1685091702843
,,4.506,19.4,1685091702990
,,4.485,19.4,1685091702991
,,4.444,19.4,1685091703185
,,4.402,19.4,1685091703186
,,4.371,19.4,1685091703193
,,4.361,19.4,1685091703366
,,4.371,19.4,1685091703366
,,4.433,19.4,1685091703406
,,4.433,19.4,1685091703552
,,4.454,19.4,1685091703553
,,4.423,19.4,1685091703739
,,4.392,19.4,1685091703740
,,4.402,19.4,1685091703753
,,4.392,19.4,1685091703923
,,4.423,19.4,1685091703924
,,4.433,19.4,1685091703964
,,4.475,19.4,1685091704109
,,4.527,19.4,1685091704109
,,4.558,19.4,1685091704297
,,4.579,19.4,1685091704297
,,4.610,19.4,1685091704310
,,4.569,19.4,1685091704480
,,4.548,19.4,1685091704481
,,4.537,19.4,1685091704525
,,4.558,19.4,1685091704687
,,4.621,19.4,1685091704687
,,4.662,19.4,1685091704874
,,4.642,19.4,1685091704887
,,4.600,19.4,1685091704887
,,4.548,19.4,1685091704942
,,4.517,19.4,1685091705011
,,4.454,19.4,1685091705182
,,4.433,19.4,1685091705193
,,4.465,19.4,1685091705224
,,4.485,19.4,1685091705372
,,4.506,19.4,1685091705373
,,4.475,19.4,1685091705533
,,4.402,19.4,1685091705533
,,4.319,19.4,1685091705573
,,4.319,19.4,1685091705716
,,4.361,19.4,1685091705717
